EXAME|UNIDADE|VALOR_REF
AMILASE, soro - Amilase - Amilase|U/L|28 a 100
SATURAÇÃO DA TRANSFERRINA, soro - Ferro - Grau de Saturação - Ferro - Grau de Saturação|%|15 a 50
FERRO, soro - Ferro - Ferro|microg/dL|50 a 170
CAPACIDADE TOTAL DE LIGAÇÃO DO FERRO, soro - Ferro - Capac Total ligação - Ferro - Capac Total ligação|microg/dL|250 a 425
TIROGLOBULINA, soro - Tiroglobulina - Tiroglobulina|ng/mL|1,1 a 130
ANTICORPOS ANTI-TIROGLOBULINA, soro - Anticorpos Anti-tiroglobulina - Anticorpos Anti-tiroglobulina|UI/mL|inferior a 115
ANTICORPO ANTI-RECEPTOR DE TSH (TRAB), soro - TRAB - TRAB|U/L|inferior a 1,0
PROGESTERONA, soro - Progesterona - Progesterona|ng/dL|
TESTOSTERONA, soro - Testosterona - Testosterona|ng/dL|9 a 63
TESTOSTERONA LIVRE,soro - Testosterona livre - Testosterona livre|pmol/L|2,4 a 37,0
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|mmol/L|32 a 128
GONADOTROFINA CORIONICA HUMANA (HCG), soro - HCG - HCG|UI/L|Não grávidas: Indetectável
PROLACTINA, soro - Prolactina - Prolactina|microg/L|Não grávidas: Até 26
ANTIGENOS INTRACELULARES, AUTO-ANTICORPOS (FAN) - FAN - Nuclear - FAN - Nuclear||Não reagente
ANTIGENOS INTRACELULARES, AUTO-ANTICORPOS (FAN) - FAN - Nucleolar - FAN - Nucleolar||Não reagente
ANTIGENOS INTRACELULARES, AUTO-ANTICORPOS (FAN) - FAN - Placa Cromossômica Metafásica - FAN - Placa Cromossômica Metafásica||Não reagente
ANTIGENOS INTRACELULARES, AUTO-ANTICORPOS (FAN) - FAN - Citoplasmático - FAN - Citoplasmático||Não reagente
ANTIGENOS INTRACELULARES, AUTO-ANTICORPOS (FAN) - FAN - Aparelho Mitótico - FAN - Aparelho Mitótico||Não reagente
SIFILIS, ANTICORPOS TOTAIS ESPECIFICOS ANTI-T.PALLIDUM, soro - Sífilis - quimioluminescente CMIA - Sífilis - quimioluminescente CMIA||
SIFILIS, ANTICORPOS TOTAIS ESPECIFICOS ANTI-T.PALLIDUM, soro - Sífilis - Floculação - Sífilis - Floculação||Não Reagente
SIFILIS, ANTICORPOS TOTAIS ESPECIFICOS ANTI-T.PALLIDUM, soro - Sífilis - Índice quimioluminescente CMIA - Sífilis - Índice quimioluminescente CMIA||
TIPAGEM SANGUÍNEA ABO/RhD, sangue total - Grupo Sanguíneo - Grupo Sanguíneo||
TIPAGEM SANGUÍNEA ABO/RhD, sangue total - Fator Rh - Fator Rh||
ANTICORPOS ANTI-PEROXIDASE TIROIDIANA, soro - Anticorpos Anti-Peroxidase Tiroidiana - Anticorpos Anti-Peroxidase Tiroidiana|U/mL|inferior a 34
ANTICORPOS ANTI-TIROGLOBULINA, soro - Anticorpos Anti-tiroglobulina - Anticorpos Anti-tiroglobulina|U/mL|inferior a 60
ANTICORPOS ANTI-PEROXIDASE TIROIDIANA, soro - Anticorpos Anti-Peroxidase Tiroidiana - Anticorpos Anti-Peroxidase Tiroidiana|UI/mL|inferior a 9
TRIIODOTIRONINA (T3) LIVRE, soro - T3 livre - T3 livre|ng/dL|0,24 a 0,37
COVID19, ANTICORPOS TOTAIS, soro - Covid 19, Anticorpos Totais, Eletroquim-Índic - Covid 19, Anticorpos Totais, Eletroquim-Índic||inferior a 0,6
COVID19, ANTICORPOS TOTAIS, soro - Covid 19, Anticorpos Totais, Eletroquimiolumi - Covid 19, Anticorpos Totais, Eletroquimiolumi||Não reagente
COVID19, ANTICORPOS IgM, soro - Covid 19, Sorologia - Interpretação - Covid 19, Sorologia - Interpretação||
ALBUMINA, soro - Albumina - Albumina|g/dL|3,5 a 5,2
MAGNESIO, soro - Magnésio - Magnésio|mg/dL|1,6 a 2,6
COBRE, plasma - Cobre - Cobre|microg/dL|80 a 155
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|nmol/L|32 a 128
MERCURIO, sangue total - Mercúrio, sangue - Absorção Atômica - Mercúrio, sangue - Absorção Atômica|microg/dL|inferior a 10,00
CHUMBO, sangue - Chumbo, sangue - Chumbo, sangue|microg/dL|Até 25
IGF-1 (SOMATOMEDINA C), soro - IGF-1 - IGF-1|ng/mL|
GLIADINA, ANTICORPOS IgA, soro - Gliadina, IgA - Gliadina, IgA|U/mL|Não Reagente: inferior a 1,0
GLIADINA, ANTICORPOS IgG, soro - Gliadina, IgG - Gliadina, IgG|U/mL|Não reagente: inferior a 1,0
ANTICORPOS DA CLASSE IgA ANTI-TRANSGLUTAMINASE TECIDUAL, soro - AntiTransglutaminase - AntiTransglutaminase||
ANTICORPOS DA CLASSE IgA ANTI-TRANSGLUTAMINASE TECIDUAL, soro - Observação - Observação||
25 HIDROXI-VITAMINA D, soro - 25 Hidroxi - vitamina D - 25 Hidroxi - vitamina D|ng/mL|
ANTIGENO CARCINOEMBRIONICO (CEA), soro - CEA - CEA|microg/L|Até 5,0
CA 19-9, soro - CA 19-9 - CA 19-9|U/mL|Até 37
CA 15-3, soro - CA 15-3 - CA 15-3|U/mL|Até 28
25 HIDROXI-VITAMINA D, soro - 250H - Vitamina D Total - 250H - Vitamina D Total||
HTLV1/2, ANTICORPOS, soro - HTLV1/2, Anticorpos - HTLV1/2, Anticorpos||Não reagente
CITRATO, urina - Citrato, urina - Citrato, urina|mg/24h|Acima de 320
CITRATO, urina - Período de coleta (horas) - Período de coleta (horas)||
CITRATO, urina - Volume (mL) - Volume (mL)||
PROTEINAS, urina - Proteínas, Urina 24h - Proteínas, Urina 24h|g/L|inferior a 0,30 g/24 h
PROTEINAS, urina - Proteínas - Proteínas|g/L|inferior a 0,10
PROTEINAS, urina - Período de coleta (horas) - Período de coleta (horas)||
PROTEINAS, urina - Volume (mL) - Volume (mL)||
SODIO, urina - Volume (mL) - Volume (mL)||
SODIO, urina - Sódio, urina 24h - Sódio, urina 24h|mEq/L|30 a 90
SODIO, urina - Sódio, urina  24h no volume enviado - Sódio, urina  24h no volume enviado|mEq/24h|40 a 220
ACIDO URICO, urina - Ácido Úrico, urina - Ácido Úrico, urina|mg/24h|0,25 a 0,75
ACIDO URICO, urina - Período de coleta (horas) - Período de coleta (horas)||
ACIDO URICO, urina - Volume (mL) - Volume (mL)||
FOSFORO INORGANICO, urina - Período de coleta (horas) - Período de coleta (horas)||
FOSFORO INORGANICO, urina - Volume (mL) - Volume (mL)||
FOSFORO INORGANICO, urina - Fósforo Inorgânico, urina - Fósforo Inorgânico, urina||
FOSFORO INORGANICO, urina - Fósofor inorgânico, urina - no volume enviado - Fósofor inorgânico, urina - no volume enviado|mg/24h|400 a 1300
MAGNESIO, urina - Período de coleta (horas) - Período de coleta (horas)||
MAGNESIO, urina - Volume (mL) - Volume (mL)||
MAGNESIO, urina - Creatinina, urina - Creatinina, urina||
CREATININA, urina - Período de coleta (horas) - Período de coleta (horas)||
CREATININA, urina - Volume (mL) - Volume (mL)||
CREATININA, urina - Creatinina, urina - Creatinina, urina||11 a 20
OXALATO, urina - Oxalato, urina - Oxalato, urina|mg/24h|24 a 47
OXALATO, urina - Período de coleta (horas) - Período de coleta (horas)||
OXALATO, urina - Volume (mL) - Volume (mL)||
COVID19, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Quimiolumin.-Índice - Covid 19, Anticorpos IgG, Quimiolumin.-Índice|UA/mL|inferior a 0,9
COVID19, ANTICORPOS IgM, soro - Covid 19, Anticorpos IgM, Quimiolumin.-Índice - Covid 19, Anticorpos IgM, Quimiolumin.-Índice|UA/mL|inferior a 0,7
INFLUENZA A E B, TESTE RAPIDO, VARIOS MATERIAIS - Influenza A e B - teste rápido - Influenza A e B - teste rápido|ng/mL|Negativo
CA-125, soro - CA 125 - CA 125|U/mL|Até 35
