EXAME|UNIDADE|VALOR_REF
Hemograma com Plaquetas - Hemácias|x10^6/uL|4.30 a 5.70
Hemograma com Plaquetas - Hematócrito|%|39.0 a 50.0
Dosagem de CPK - CPK|U/L|20 a 200
Hemograma com Plaquetas - Hemoglobina|g/dL|13.5 a 17.5
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|40 a 129
Dosagem de Ferritina - Ferritina|ng/mL|22.00 a 491.00
Dosagem de Proteínas Totais e Frações - Albumina|g/dL|3.5 a 5.2
Hemograma com Plaquetas - VCM|fL|81.0 a 95.0
Sorologia SARS-CoV-2/COVID19 IgG/IgM - COVID IgM Interp||Não Reagente
Sorologia SARS-CoV-2/COVID19 IgG/IgM - COVID IgG Interp||Não Reagente
Gasometria Venosa - pCO2 (gasometria venosa)|mm Hg|41.0 a 50.0
Gasometria Venosa - pH (gasometria venosa)||7.320 a 7.430
Gasometria Venosa - Saturação da Hb (gasometria venosa)|%|40.0 a 70.0
Urina Tipo I - pH||5 a 8
Gasometria Venosa - BE (gasometria venosa)|mEq/L|-4.0 a 4.0
Gasometria Venosa - CO2 Total (gasometria venosa)|mmol/L|25.0 a 29.0
Gasometria Venosa - pO2 (gasometria venosa)|mm Hg|25.0 a 40.0
Gasometria Venosa - HCO3 (gasometria venosa)|mEq/L|22.0 a 29.0
Gasometria Venosa - Fio2 (gasometria venosa)||
Dosagem de Vitamina B12 - Dosagem de Vitamina B12||
Dosagem de Vitamina B12 - Dosagem de Vitamina B12|pg/mL|197 a 771
Tempo de Protrombina - TP, Atividade|%|70 a 100
Tempo de Protrombina - RNI||0.96 a 1.30
TTPA - TTPA segundos|s|25.6 a 35.5
TTPA - Relação (Paciente/Normal)||0.90 a 1.25
Dosagem de Lipase - Dosagem de Lipase|U/L|13 a 60
Dosagem de Lipase - Dosagem de Lipase||
Pesquisa Rápida para Influenza A e B - Influenza B,  teste rápido||Negativo
Pesquisa Rápida para Influenza A e B - Influenza A, teste rápido||Negativo
Dosagem de Magnésio - Magnésio|mEq/L|1.4 a 1.9
Dosagem de Cálcio Iônico - Cálcio Iônico mmol/L|mmol/L|1.14 a 1.31
Dosagem de Fósforo - Fósforo|mg/dL|2.5 a 4.5
Diferencial Manual - Basófilos|%|
Diferencial Manual - Eosinófilos  #|µL|50 a 500
Diferencial Manual - Eosinófilos|%|
Diferencial Manual - Mielócitos #|µL|0 a 0
Diferencial Manual - Linfócitos|%|
Diferencial Manual - Mieloblastos|%|
Diferencial Manual - Linfócitos #|µL|900 a 2900
Diferencial Manual - Monócitos #|µL|300 a 900
Diferencial Manual - Mielócitos|%|
Diferencial Manual - Mieloblastos #|µL|0 a 0
Diferencial Manual - Metamielócitos|%|
Diferencial Manual - Monócitos|%|
Diferencial Manual - Bastonetes #|µL|0 a 840
Diferencial Manual - Bastonestes|%|
Diferencial Manual - Promielócitos|%|
Diferencial Manual - Metamielócitos #|µL|0 a 0
Diferencial Manual - Basófilos #|µL|0 a 100
Diferencial Manual - Segmentados #|µL|1700 a 8000
Diferencial Manual - Promielócitos #|µL|0 a 0
Diferencial Manual - Segmentados|%|
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|135 a 225
TTPA - TTPA segundos|s|27.5 a 38.2
Gasometria Arterial - ctO2 (gasometria arterial)|mmol/L|8.4 a 9.9
Contagem de Plaquetas - Volume Médio Plaquetário|fL|6.5 a 15.0
Contagem de Plaquetas - Plaquetas|x10^3/uL|
Dosagem de Hemoglobina - Hemoglobina|g/dL|13.5 a 17.5
Dosagem de Hematócrito - Hematócrito|%|39.0 a 50.0
Sorologia SARS-CoV-2/COVID19 IgG/IgM - IgG, COVID19||
Sorologia SARS-CoV-2/COVID19 IgG/IgM - IgM, COVID19||
Dosagem de TGO - TGO|U/L|<=32
Dosagem de Ferritina - Ferritina|ng/mL|12.00 a 266.00
Dosagem de TGP - TGP|U/L|0 a 41
Dosagem de TGO - TGO|U/L|0 a 40
Pesquisa de Estreptococos do Grupo A - Strepto A||Negativo
Dosagem de Testosterona Total e Livre - Albumina|g/dL|3.5 a 5.2
Dosagem de Bilirrubina Total e Frações - Bilirrubina Indireta|mg/dL|
Dosagem de Albumina - Albumina|g/dL|3.5 a 5.2
Dosagem de Hematócrito - Hematócrito|%|35.0 a 45.0
Dosagem de Hemoglobina - Hemoglobina|g/dL|12.0 a 15.5
Dosagem de Insulina - Dosagem de Glicose||
Dosagem de Albumina - Albumina|g/dL|3.50 a 5.20
Triagem de Urina - Esterase||Ausente
Triagem de Urina - Nitrito||Negativo
Triagem de Urina - Pigmentos biliares||Ausentes
Triagem de Urina - Densidade||1015 a 1025
Triagem de Urina - Corpos cetônicos||Ausentes
Triagem de Urina - Aspecto||Límpido
Triagem de Urina - Hemoglobina Urina||Ausente
Triagem de Urina - Urobilinogênio||Normal
Triagem de Urina - Açúcar||Ausente
Triagem de Urina - pH||4.6 a 8.0
Triagem de Urina - Proteína||Não Detectado
Contagem dos Reticulócitos - Hematócrito|%|35.0 a 45.0
Contagem dos Reticulócitos - Hemácias|x10^6/uL|3.90 a 5.00
Dosagem de Ferritina - Ferritina|ng/mL|
Dosagem de Insulina - Dosagem de Glicose|mg/dL|70 a 99
Diferencial Manual - Eosinófilos  #|µL|0 a 650
Diferencial Manual - Monócitos #|µL|0 a 800
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|142 a 335
Diferencial Manual - Basófilos #|µL|0 a 200
Hemograma com Plaquetas - Hematócrito|%|33.0 a 43.0
Hemograma com Plaquetas - VCM|fL|74.0 a 89.0
Dosagem de CreatiNINA - Creatinina|mg/dL|0.24 a 0.41
Hemograma com Plaquetas - Hemácias|x10^6/uL|3.90 a 5.30
Hemograma com Plaquetas - HCM|pg|24.0 a 32.0
Hemograma com Plaquetas - CHCM|g/dL|32.0 a 36.0
Diferencial Manual - Linfócitos #|µL|1500 a 8500
Hemograma com Plaquetas - Hemoglobina|g/dL|11.0 a 14.5
Diferencial Manual - Segmentados #|µL|1500 a 8500
Hemograma com Plaquetas - RDW|%|12.0 a 14.5
Diferencial Manual - Bastonetes #|µL|0 a 950
Hemograma com Plaquetas - Leucócitos #|µL|5000 a 14500
Dosagem de Fósforo - Fósforo|mg/dL|3.2 a 5.5
TTPA - TTPA segundos|s|26.5 a 36.7
Teste rápido Coronavirus COVID19 IgG/IgM - COVID19 IgG, teste rápido||Não Reagente
Teste rápido Coronavirus COVID19 IgG/IgM - COVID19 IgM, teste rápido||Não reagente
Dosagem de CreatiNINA - Creatinina|mg/dL|0.70 a 1.10
Dosagem de TGP - TGP|U/L|<=18
Dosagem de Ferritina - Ferritina|ng/mL|20.90 a 173.00
Dosagem de Gama GT - Gama GT|U/L|4 a 16
Dosagem de Uréia - Uréia|mg/dL|18 a 45
Dosagem de Bilirrubina Total e Frações - Bilirrubina Total|mg/dL|0.0 a 13.4
Diferencial Manual - Monócitos #|µL|100 a 800
Hemograma com Plaquetas - Hemácias|x10^6/uL|4.30 a 5.30
Hemograma com Plaquetas - Hemoglobina|g/dL|13.0 a 16.0
Hemograma com Plaquetas - Hematócrito|%|37.0 a 47.0
Hemograma com Plaquetas - VCM|fL|81.0 a 92.0
Diferencial Manual - Bastonetes #|µL|0 a 730
Hemograma com Plaquetas - Leucócitos #|µL|4500 a 13000
Hemograma com Plaquetas - HCM|pg|25.0 a 35.0
Diferencial Manual - Segmentados #|µL|1800 a 8000
Diferencial Manual - Linfócitos #|µL|1200 a 5200
Dosagem de CreatiNINA - Creatinina|mg/dL|0.57 a 0.87
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|116 a 468
Hemograma Contagem Auto - Monócitos #|µL|100 a 800
Hemograma Contagem Auto - Neutrófilos  #|µL|1800 a 8000
Hemograma Contagem Auto - Linfócitos #|µL|1200 a 5200
Hemograma Contagem Auto - Basófilos #|µL|0 a 200
Dosagem de Fósforo - Fósforo|mg/dL|2.9 a 5.1
Urina Tipo I - Nitrito||
Urina Tipo I - Hemoglobina Urina||
Urina Tipo I - Pigmentos biliares||
Urina Tipo I - Açúcar||
Urina Tipo I - Esterase||
Urina Tipo I - Corpos cetônicos||
Urina Tipo I - Urobilinogênio||
Anticorpos IgA e IgG SARS-CoV-2/COVID19 - IgA, COVID19:||<=0.8
Anticorpos IgA e IgG SARS-CoV-2/COVID19 - COVID IgA Intepr||Não Reagente
Hemograma com Plaquetas - VCM|fL|77.0 a 91.0
Dosagem de Ferritina - Ferritina|ng/mL|14.00 a 101.00
Hemograma com Plaquetas - HCM|pg|25.0 a 36.0
Hemograma Contagem Auto - Monócitos #|µL|0 a 800
Hemograma com Plaquetas - Hemoglobina|g/dL|11.5 a 14.5
Hemograma com Plaquetas - Hematócrito|%|36.0 a 43.0
Hemograma com Plaquetas - Hemácias|x10^6/uL|4.00 a 5.20
Dosagem de Fósforo - Fósforo|mg/dL|3.0 a 5.4
Dosagem de CreatiNINA - Creatinina|mg/dL|0.40 a 0.60
Hemograma Contagem Auto - Eosinófilos  #|µL|0 a 500
Hemograma Contagem Auto - Linfócitos #|µL|1500 a 6500
TP POCT - RNI||0.96 a 1.30
Hemograma com Plaquetas - HCM|pg|28.0 a 40.0
Hemograma Contagem Auto - Neutrófilos  #|µL|1500 a 10000
Hemograma com Plaquetas - Hematócrito|%|42.0 a 60.0
Hemograma com Plaquetas - VCM|fL|88.0 a 126.0
Hemograma com Plaquetas - RDW|%|
Hemograma com Plaquetas - Leucócitos #|µL|9400 a 34000
Hemograma com Plaquetas - Hemoglobina|g/dL|13.5 a 21.5
Hemograma Contagem Auto - Basófilos #|µL|0 a 600
Diferencial Manual - Bastonetes #|µL|0 a 4010
Hemograma Contagem Auto - Linfócitos #|µL|2000 a 17000
Diferencial Manual - Eosinófilos  #|µL|20 a 850
Hemograma Contagem Auto - Monócitos #|µL|400 a 1800
Hemograma com Plaquetas - Hemácias|x10^6/uL|3.90 a 6.30
Hemograma com Plaquetas - CHCM|g/dL|28.0 a 38.0
Diferencial Manual - Linfócitos #|µL|2000 a 17000
Diferencial Manual - Monócitos #|µL|400 a 1800
Diferencial Manual - Basófilos #|µL|0 a 600
Diferencial Manual - Segmentados #|µL|1500 a 10000
Hemograma Contagem Auto - Eosinófilos  #|µL|20 a 850
Hemograma com Plaquetas - HCM|pg|25.0 a 33.0
Dosagem de CreatiNINA - Creatinina|mg/dL|0.32 a 0.59
Diferencial Manual - Linfócitos #|µL|1500 a 6500
Diferencial Manual - Bastonetes #|µL|0 a 860
Diferencial Manual - Eosinófilos  #|µL|0 a 500
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|<=305
Gasometria Arterial - pO2 (gasometria arterial)||80.0 a 90.0
Dosagem de TGO - TGO|U/L|<=41
Dosagem de TGP - TGP|U/L|<=19
Dosagem de Proteínas Totais e Frações - Albumina|g/dL|3.50 a 5.20
Teste rápido Coronavirus COVID19 IgG/IgM - COVID19 IgM, teste rápido||Não Reagente
TTPA - TTPA segundos|s|27.3 a 37.9
Gasometria Arterial - ctO2 (gasometria arterial)|mmol/L|0.4 a 9.9
Clearance de Creatinina - Creatinina|mg/dL|0.70 a 1.20
Urina Tipo I - Cor||
Anticorpos IgA e IgG SARS-CoV-2/COVID19 - COVID IgA Intepr||
Anticorpos IgA e IgG SARS-CoV-2/COVID19 - COVID IgG Interp||
Anticorpos IgA e IgG SARS-CoV-2/COVID19 - IgG, COVID19|AU/ml|<=0.90
TTPA - TTPA segundos|s|26.2 a 36.4
Hemograma Contagem Auto - Linfócitos #|µL|1500 a 8500
Hemograma Contagem Auto - Neutrófilos  #|µL|1500 a 8500
Hemograma Contagem Auto - Eosinófilos  #|µL|0 a 650
Contagem dos Reticulócitos - Hemácias|x10^6/uL|4.30 a 5.70
Contagem dos Reticulócitos - Hematócrito|%|39.0 a 50.0
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|<=240
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|82 a 331
Urina Tipo I - pH||
PCR para Influenza A/B e VRS - Influenza  A||Negativo
PCR para Influenza A/B e VRS - Influenza  B||Negativo
PCR para Influenza A/B e VRS - Vírus Sincicial Respiratório||Negativo
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - pCO2 (gasometria arterial)|mm Hg|35.0 a 45.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Fio2 Arterial||
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hematócrito|%|35.0 a 45.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - CO2 Total (gasometria arterial)|mmol/L|23.0 a 27.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Sódio|mEq/L|135 a 145
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Ácido Lático Arterial|mg/dL|4.5 a 14.4
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - HCO3 (gasometria arterial)|mEq/L|24.0 a 28.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - pH (gasometria arterial)||7.350 a 7.450
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Saturação da Hb (gasometria arterial)|%|96.0 a 97.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - BE (gasometria arterial)|mEq/L|-2.0 a 2.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Potássio|mEq/L|3.5 a 5.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - ctO2 (gasometria arterial)|mmol/L|7.1 a 8.9
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hemoglobina|g/dL|12.0 a 15.5
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Cálcio Iônico mmol/L|mmol/L|1.14 a 1.31
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - pO2 (gasometria arterial)|mm Hg|80.0 a 90.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Dosagem de Glicose|mg/dL|70 a 99
Dosagem de Fósforo - Fósforo|mg/dL|3.4 a 6.0
Clearance de Uréia - Uréia|mg/dL|17 a 49
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|55 a 149
Dosagem de Gama GT - Gama GT|U/L|4 a 12
Dosagem de Uréia - Uréia|mg/dL|9 a 21
Dosagem de TGO - TGO|U/L|<=33
Dosagem de CreatiNINA - Creatinina|mg/dL|0.40 a 0.70
Dosagem de Uréia - Uréia|mg/dL|15 a 36
Dosagem de Fósforo - Fósforo|mg/dL|4.0 a 5.6
Dosagem de Magnésio - Magnésio|mEq/L|1.4 a 1.7
Dosagem de Proteínas Totais e Frações - Albumina|g/dL|4.0 a 4.9
Dosagem de CreatiNINA - Creatinina|mg/dL|0.39 a 0.73
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|129 a 417
Contagem dos Reticulócitos - Hematócrito|%|36.0 a 43.0
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|120 a 300
Dosagem de Albumina - Albumina|g/dL|3.80 a 5.40
Contagem dos Reticulócitos - Hemácias|x10^6/uL|4.00 a 5.20
Dosagem de Fósforo - Fósforo|mg/dL|3.3 a 5.3
Dosagem de Proteínas Totais e Frações - Albumina|g/dL|3.80 a 5.40
Dosagem de Uréia - Uréia|mg/dL|7 a 18
Hemograma com Plaquetas - Hemácias|x10^6/uL|4.10 a 5.10
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|57 a 254
Dosagem de TGO - TGO|U/L|<=23
Hemograma com Plaquetas - Hemoglobina|g/dL|12.0 a 14.8
Hemograma com Plaquetas - VCM|fL|80.0 a 92.0
Dosagem de Fósforo - Fósforo|mg/dL|3.1 a 5.3
Dosagem de Proteínas Totais e Frações - Albumina|g/dL|4.3 a 5.3
Dosagem de Fósforo - Fósforo|mg/dL|2.7 a 4.9
Dosagem de Vitamina B12 - Dosagem de Vitamina B12|pg/mL|270 a 1132
Dosagem de Testosterona Total e Livre - Albumina|g/dL|4.2 a 5.1
Dosagem de Proteínas Totais e Frações - Albumina|g/dL|4.2 a 5.1
PCR para Influenza A/B e VRS - Influenza  A||
PCR para Influenza A/B e VRS - Influenza  B||
Dosagem de Ferritina - Ferritina|ng/mL|3.88 a 114.00
Dosagem de Proteínas Totais e Frações - Albumina|g/dL|3.20 a 4.50
Dosagem de CreatiNINA - Creatinina|mg/dL|0.17 a 0.42
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hematócrito|%|39.0 a 50.0
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - ctO2 (gasometria arterial)|mmol/L|8.4 a 9.9
Cirúrgico :GAA,Hb,Ht,Na,K,Glic,CA++,Lact - Hemoglobina|g/dL|13.5 a 17.5
Hemograma com Plaquetas - Hemoglobina|g/dL|10.5 a 13.5
Diferencial Manual - Linfócitos #|µL|300 a 9500
Hemograma com Plaquetas - Hematócrito|%|33.0 a 39.0
Hemograma com Plaquetas - Hemácias|x10^6/uL|3.70 a 5.30
Hemograma com Plaquetas - Leucócitos #|µL|6000 a 17000
Hemograma com Plaquetas - VCM|fL|70.0 a 86.0
Diferencial Manual - Monócitos #|µL|50 a 800
Hemograma com Plaquetas - HCM|pg|23.0 a 31.0
Diferencial Manual - Bastonetes #|µL|0 a 900
Hemograma com Plaquetas - CHCM|g/dL|30.0 a 36.0
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|45 a 87
Dosagem de Vitamina B12 - Dosagem de Vitamina B12|pg/mL|354 a 1599
Dosagem de CreatiNINA - Creatinina|mg/dL|0.30 a 0.50
Hemograma Contagem Auto - Linfócitos #|µL|300 a 9500
Hemograma Contagem Auto - Monócitos #|µL|50 a 800
Sedimento Urinário - Leucócitos Urina|/mL|<=10000
Sedimento Urinário - Cilindros hialinos||Ausentes
Sedimento Urinário - Hemácias Urina|/mL|<=10000
Sedimento Urinário - Leveduras||Ausentes
Sedimento Urinário - Cilindros granulosos||Ausentes
Sedimento Urinário - Cristais||Ausentes
Dosagem de Testosterona Total e Livre - Albumina|g/dL|4.0 a 5.3
Dosagem de Fósforo - Fósforo|mg/dL|4.1 a 6.4
Contagem dos Reticulócitos - Hematócrito|%|33.0 a 43.0
Contagem dos Reticulócitos - Hemácias|x10^6/uL|3.90 a 5.30
Dosagem de Fósforo - Fósforo|mg/dL|3.5 a 5.8
Clearance de Creatinina - Creatinina|mg/dL|0.50 a 0.90
PCR em tempo real para detecção de Coron - Resultado COVID-19:||
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|<=260
Dosagem de Uréia - Uréia|mg/dL|11 a 36
Dosagem de CreatiNINA - Creatinina|mg/dL|0.20 a 0.40
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|50 a 117
Anticorpos IgA e IgG SARS-CoV-2/COVID19 - COVID IgG Interp||Não Reagente
Anticorpos IgA e IgG SARS-CoV-2/COVID19 - IgG, COVID19||
Leucograma Auto - Linfócitos|%|
Leucograma Auto - Linfócitos #|µL|900 a 2900
Leucograma Auto - Monócitos|%|
Leucograma Auto - Eosinófilos  #|µL|50 a 500
Leucograma Auto - Neutrófilos  #|µL|1700 a 8000
Leucograma Auto - Neutrófilos|%|
Leucograma Auto - Basófilos|%|
Leucograma - Leucócitos|x10^3/uL|
Leucograma Auto - Monócitos #|µL|300 a 900
Leucograma - Leucócitos #|µL|3500 a 10500
Leucograma Auto - Eosinófilos|%|
Leucograma Auto - Basófilos #|µL|0 a 100
Teste rápido Coronavirus COVID19 IgG/IgM - COVID19 IgG, teste rápido||
Teste rápido Coronavirus COVID19 IgG/IgM - COVID19 IgM, teste rápido||
Dosagem de Testosterona Total e Livre - Albumina|g/dL|4.3 a 5.3
Dosagem de Uréia - Uréia|mg/dL|7 a 20
Urina Tipo I - Proteína||
Triagem de Urina - pH||5 a 8
Determinação de Osmolalidade - Sódio|mEq/L|135 a 145
Determinação de Osmolalidade - Dosagem de Glicose|mg/dL|70 a 99
Determinação de Osmolalidade - Uréia|mg/dL|17 a 49
Diferencial Manual - Segmentados #|µL|1000 a 8500
Hemograma com Plaquetas - CHCM|g/dL|29.0 a 37.0
Diferencial Manual - Monócitos #|µL|50 a 1100
Hemograma com Plaquetas - Leucócitos #|µL|6000 a 17500
Hemograma com Plaquetas - Hemoglobina|g/dL|9.0 a 14.0
Hemograma com Plaquetas - Hematócrito|%|29.0 a 41.0
Diferencial Manual - Linfócitos #|µL|4000 a 13500
Hemograma com Plaquetas - Hemácias|x10^6/uL|3.10 a 4.50
Hemograma com Plaquetas - VCM|fL|77.0 a 115.0
Diferencial Manual - Bastonetes #|µL|0 a 1350
Dosagem de Fósforo - Fósforo|mg/dL|2.9 a 4.8
Dosagem de Testosterona Total e Livre - Albumina|g/dL|3.20 a 4.50
Densidade Urinária - Densidade||1015 a 1025
Dosagem de Hematócrito - Hematócrito|%|36.0 a 43.0
Dosagem de Hemoglobina - Hemoglobina|g/dL|11.5 a 14.5
Diferencial Manual - Bastonetes #|µL|0 a 710
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|160 a 370
Dosagem de CreatiNINA - Creatinina|mg/dL|0.24 a 0.85
Dosagem de Uréia - Uréia|mg/dL|4 a 16
